Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%
2,Demon Slayer the Movie: Mugen Train,"$453,210,959","$49,505,008",10.9%,"$403,705,951",89.1%
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
5,Tenet,"$365,294,355","$58,504,105",16%,"$306,790,250",84%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$251,410,631","$77,047,065",30.6%,"$174,363,566",69.4%
8,Legend of Deification,"$240,646,355","$214,670",<0.1%,"$240,431,685",99.9%
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
10,The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%
11,Birds of Prey,"$205,308,611","$84,158,461",41%,"$121,150,150",59%
12,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%
13,Wonder Woman 1984,"$169,602,006","$46,801,036",27.6%,"$122,800,970",72.4%
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
15,The Invisible Man,"$144,492,724","$70,410,000",48.7%,"$74,082,724",51.3%
16,Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
18,Soul,"$120,957,731",-,-,"$120,957,731",100%
19,The Call of the Wild,"$111,202,881","$62,342,368",56.1%,"$48,860,513",43.9%
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
21,Mulan,"$69,965,374",-,-,"$69,965,374",100%
22,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
23,Stand by Me Doraemon 2,"$65,201,374",-,-,"$65,201,374",100%
24,The Rescue,"$64,203,587","$18,797",<0.1%,"$64,184,790",100%
25,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
26,Greenland,"$52,300,000",-,-,"$52,300,000",100%
27,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
28,Vanguard,"$50,866,901","$793,525",1.6%,"$50,073,376",98.4%
29,Fantasy Island,"$49,447,308","$27,309,289",55.2%,"$22,138,019",44.8%
30,Trolls 2: World Tour,"$49,276,818","$450,000",0.9%,"$48,826,818",99.1%
31,The New Mutants,"$49,169,594","$23,852,659",48.5%,"$25,316,935",51.5%
32,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
33,"From Today, It's My Turn: The Movie","$47,895,887",-,-,"$47,895,887",100%
34,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
35,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%
36,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
37,The War with Grandpa,"$43,387,445","$21,277,892",49%,"$22,109,553",51%
38,Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
39,Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%
40,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
41,Bloodshot,"$39,861,118","$12,561,824",31.5%,"$27,299,294",68.5%
42,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
43,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
44,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
45,Black Panther 2020 Re-release,"$35,335,665","$367,000",1%,"$34,968,665",99%
46,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
47,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
48,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341",-,-,"$33,942,341",100%
49,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
50,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
51,Honest Thief,"$31,220,247","$14,163,574",45.4%,"$17,056,673",54.6%
52,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%
53,The Witches,"$29,333,671","$203,571",0.7%,"$29,130,100",99.3%
54,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
55,Scoob!,"$28,559,165","$2,188,425",7.7%,"$26,370,740",92.3%
56,Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%
57,Emma.,"$26,404,660","$10,055,355",38.1%,"$16,349,305",61.9%
58,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
59,The Father,"$24,713,279","$2,122,771",8.6%,"$22,590,508",91.4%
60,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%
61,Poupelle of Chimney Town,"$22,715,146",-,-,"$22,715,146",100%
62,Gretel & Hansel,"$22,304,357","$15,347,654",68.8%,"$6,956,703",31.2%
63,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%
64,Pokémon the Movie: Secrets of the Jungle,"$21,097,921",-,-,"$21,097,921",100%
65,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
66,Yarn,"$20,474,270",-,-,"$20,474,270",100%
67,Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%
68,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
69,Ice 2,"$19,788,995",-,-,"$19,788,995",100%
70,Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%
71,The Turning,"$19,428,166","$15,472,775",79.6%,"$3,955,391",20.4%
72,Fate/stay night [Heaven's Feel] III. spring song,"$19,252,497","$200,000",1%,"$19,052,497",99%
73,Promising Young Woman,"$18,854,166","$6,460,965",34.3%,"$12,393,201",65.7%
74,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%
75,Freaky,"$18,073,433","$9,030,855",50%,"$9,042,578",50%
76,The Promised Neverland,"$17,710,977",-,-,"$17,710,977",100%
77,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
78,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
79,Digimon Adventure: Last Evolution Kizuna,"$17,361,009",-,-,"$17,361,009",100%
80,Moana 2020 Re-release,"$17,017,264",-,-,"$17,017,264",100%
81,Bye Bye Morons,"$16,955,924",-,-,"$16,955,924",100%
82,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
83,I Still Believe,"$16,069,730","$9,868,521",61.4%,"$6,201,209",38.6%
84,The Way Back,"$15,480,704","$13,590,514",87.8%,"$1,890,190",12.2%
85,Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181",-,-,"$15,373,181",100%
86,The Personal History of David Copperfield,"$14,399,270","$1,876,298",13%,"$12,522,972",87%
87,Nightlife,"$14,308,789",-,-,"$14,308,789",100%
88,Pawn,"$14,193,957",-,-,"$14,193,957",100%
89,#Alive,"$13,432,212",-,-,"$13,432,212",100%
90,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
91,Come Play,"$13,182,254","$10,475,990",79.5%,"$2,706,264",20.5%
92,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
93,Another Round,"$12,742,254",-,-,"$12,742,254",100%
94,News of the World,"$12,668,325","$12,668,325",100%,-,-
95,Collectors,"$12,640,113",-,-,"$12,640,113",100%
96,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804",-,-,"$12,221,804",100%
97,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
98,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
99,30 jours max,"$11,007,713",-,-,"$11,007,713",100%
100,Bigfoot Family,"$10,987,975",-,-,"$10,987,975",100%
101,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
102,Let Him Go,"$10,835,686","$9,358,025",86.4%,"$1,477,661",13.6%
103,One Second,"$10,791,301",-,-,"$10,791,301",100%
104,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
105,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
106,Two by Two: Overboard!,"$10,623,783",-,-,"$10,623,783",100%
107,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
108,The Hunt,"$10,550,350","$5,812,500",55.1%,"$4,737,850",44.9%
109,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
110,My Spy,"$10,200,000",-,-,"$10,200,000",100%
111,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
112,Beauty and the Beast 2020 Re-release,"$10,055,094","$467,000",4.6%,"$9,588,094",95.4%
113,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
114,100% Wolf,"$9,640,576","$658,764",6.8%,"$8,981,812",93.2%
115,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%
116,Secret Zoo,"$9,471,940",-,-,"$9,471,940",100%
117,365 Days,"$9,458,590",-,-,"$9,458,590",100%
118,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
119,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
120,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
121,The Closet,"$9,039,424",-,-,"$9,039,424",100%
122,Malasaña 32,"$8,968,845",-,-,"$8,968,845",100%
123,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
124,I Hate Summer,"$8,926,071",-,-,"$8,926,071",100%
125,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
126,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
127,The Secret Garden,"$8,721,243",-,-,"$8,721,243",100%
128,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
129,Malang,"$8,399,765",-,-,"$8,399,765",100%
130,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
131,"My Donkey, My Lover & I","$7,973,799","$152,184",1.9%,"$7,821,615",98.1%
132,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
133,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
134,Antebellum,"$7,792,716",-,-,"$7,792,716",100%
135,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
136,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
137,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
138,The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%
139,De Gaulle,"$7,501,454",-,-,"$7,501,454",100%
140,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
141,The Best Years,"$7,354,583",-,-,"$7,354,583",100%
142,Mamma Mia! Here We Go Again 2020 Re-release,"$7,220,137",-,-,"$7,220,137",100%
143,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
144,Bohemian Rhapsody 2020 Re-release,"$7,154,052","$240,000",3.4%,"$6,914,052",96.6%
145,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
146,Adu,"$7,085,946",-,-,"$7,085,946",100%
147,Fatale,"$7,031,289","$6,306,897",89.7%,"$724,392",10.3%
148,Spycies,"$6,989,285",-,-,"$6,989,285",100%
149,Dragon Rider,"$6,974,141",-,-,"$6,974,141",100%
150,Jim Button and the Wild 13,"$6,940,313",-,-,"$6,940,313",100%
151,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
152,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
153,Innocence,"$6,659,968",-,-,"$6,659,968",100%
154,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
155,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
156,"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%
157,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
158,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
159,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
160,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
161,Simply Black,"$6,323,750",-,-,"$6,323,750",100%
162,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
163,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%
164,Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%
165,How to Be a Good Wife,"$6,029,102",-,-,"$6,029,102",100%
166,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
167,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
168,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
169,A Piece of Cake,"$5,965,939",-,-,"$5,965,939",100%
170,The Lion King 2020 Re-release,"$5,948,352",-,-,"$5,948,352",100%
171,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
172,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
173,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
174,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
175,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
176,Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",86.1%,"$781,193",13.9%
177,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
178,Mama Weed,"$5,460,480","$29,151",0.5%,"$5,431,329",99.5%
179,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
180,Cats & Dogs 3: Paws Unite,"$5,270,750",-,-,"$5,270,750",100%
181,Cindy la Regia,"$5,222,322",-,-,"$5,222,322",100%
182,Run,"$5,184,368",-,-,"$5,184,368",100%
183,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
184,Masked Ward,"$5,107,013",-,-,"$5,107,013",100%
185,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
186,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
187,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
188,L'Innocente,"$5,067,054","$22,549",0.4%,"$5,044,505",99.6%
189,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
190,Mayday,"$5,011,408",-,-,"$5,011,408",100%
191,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
192,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
193,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%
194,Military Wives,"$4,890,505",-,-,"$4,890,505",100%
195,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
196,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
197,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
198,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
199,The Empty Man,"$4,796,993","$2,992,948",62.4%,"$1,804,045",37.6%
200,The Vets,"$4,788,826",-,-,"$4,788,826",100%
1,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%
2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%
3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%
4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%
5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%
6,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%
7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%
8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%
9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%
10,Jumanji: The Next Level,"$801,693,929","$320,314,960",40%,"$481,378,969",60%
11,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.9%,"$586,775,991",77.1%
12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%
13,The Wandering Earth,"$699,856,699","$5,971,413",0.9%,"$693,885,286",99.1%
14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%
15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%
16,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%
17,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%
18,Pokémon Detective Pikachu,"$433,005,346","$144,105,346",33.3%,"$288,900,000",66.7%
19,The Secret Life of Pets 2,"$431,058,056","$158,874,395",36.9%,"$272,183,661",63.1%
20,The Captain,"$417,282,021","$706,572",0.2%,"$416,575,449",99.8%
21,Alita: Battle Angel,"$404,980,543","$85,838,210",21.2%,"$319,142,333",78.8%
22,Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.6%,"$276,100,000",71.4%
23,1917,"$384,576,334","$159,227,644",41.4%,"$225,348,690",58.6%
24,Once Upon a Time in Hollywood,"$377,426,903","$142,502,728",37.8%,"$234,924,175",62.2%
25,Shazam!,"$365,971,656","$140,371,656",38.4%,"$225,600,000",61.6%
26,Dumbo,"$353,284,621","$114,766,307",32.5%,"$238,518,314",67.5%
27,John Wick: Chapter 3 - Parabellum,"$327,777,335","$171,015,687",52.2%,"$156,761,648",47.8%
28,Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%
29,Knives Out,"$312,897,920","$165,363,234",52.8%,"$147,534,686",47.2%
30,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%
31,Parasite,"$258,704,857","$53,369,749",20.6%,"$205,335,108",79.4%
32,Us,"$256,022,707","$175,084,580",68.4%,"$80,938,127",31.6%
33,Pegasus,"$255,863,112",-,-,"$255,863,112",100%
34,Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%
35,X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%
36,Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%
37,The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%
38,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%
39,Better Days,"$225,918,798","$1,921,657",0.9%,"$223,997,141",99.1%
40,Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%
41,Little Women,"$218,843,645","$108,101,214",49.4%,"$110,742,431",50.6%
42,The Addams Family,"$203,044,905","$100,044,905",49.3%,"$103,000,000",50.7%
43,Rocketman,"$195,320,400","$96,368,160",49.3%,"$98,952,240",50.7%
44,Downton Abbey,"$194,694,725","$96,853,865",49.7%,"$97,840,860",50.3%
45,Weathering with You,"$193,357,082","$8,056,636",4.2%,"$185,300,446",95.8%
46,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%
47,Sheep Without a Shepherd,"$191,602,146",-,-,"$191,602,146",100%
48,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%
49,Abominable,"$188,623,517","$60,716,390",32.2%,"$127,907,127",67.8%
50,Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.2%,"$172,389,935",97.8%
51,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%
52,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%
53,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%
54,The Climbers,"$156,892,866","$487,157",0.3%,"$156,405,709",99.7%
55,Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%
56,Yesterday,"$154,608,507","$73,286,650",47.4%,"$81,321,857",52.6%
57,The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.2%,"$106,124,931",71.8%
58,Angel Has Fallen,"$146,661,977","$69,030,436",47.1%,"$77,631,541",52.9%
59,Ad Astra,"$127,461,872","$50,188,370",39.4%,"$77,273,502",60.6%
60,Midway,"$127,420,861","$56,846,802",44.6%,"$70,574,059",55.4%
61,The Upside,"$125,852,517","$108,252,517",86%,"$17,600,000",14%
62,Last Christmas,"$123,446,172","$35,150,750",28.5%,"$88,295,422",71.5%
63,The Curse of La Llorona,"$123,133,739","$54,733,739",44.5%,"$68,400,000",55.5%
64,Looking Up,"$122,994,583","$84,267",<0.1%,"$122,910,316",99.9%
65,Zombieland: Double Tap,"$122,810,399","$73,123,082",59.5%,"$49,687,317",40.5%
66,Dora and the Lost City of Gold,"$120,597,108","$60,477,943",50.1%,"$60,119,165",49.9%
67,Extreme Job,"$119,932,733","$1,565,885",1.3%,"$118,366,848",98.7%
68,Wonder Park,"$119,559,110","$45,216,793",37.8%,"$74,342,317",62.2%
69,P Storm,"$117,991,727","$326,711",0.3%,"$117,665,016",99.7%
70,Detective Conan: The Fist of Blue Sapphire,"$115,570,314",-,-,"$115,570,314",100%
71,The Gentlemen,"$115,171,795","$36,471,795",31.7%,"$78,700,000",68.3%
72,Pet Sematary,"$113,118,226","$54,724,696",48.4%,"$58,393,530",51.6%
73,Boonie Bears: Blast Into the Past,"$112,367,881",-,-,"$112,367,881",100%
74,Good Boys,"$111,173,598","$83,140,306",74.8%,"$28,033,292",25.2%
75,Scary Stories to Tell in the Dark,"$104,545,505","$68,947,075",65.9%,"$35,598,430",34.1%
76,Line Walker 2: Invisible Spy,"$99,482,027","$296,751",0.3%,"$99,185,276",99.7%
77,The Hustle,"$97,409,779","$35,417,038",36.4%,"$61,992,741",63.6%
78,The New King of Comedy,"$95,618,308",-,-,"$95,618,308",100%
79,Adoring,"$94,975,692",-,-,"$94,975,692",100%
80,Five Feet Apart,"$92,554,209","$45,729,221",49.4%,"$46,824,988",50.6%
81,Crawl,"$91,542,097","$39,014,193",42.6%,"$52,527,904",57.4%
82,Rambo: Last Blood,"$91,490,353","$44,819,352",49%,"$46,671,001",51%
83,Jojo Rabbit,"$90,335,025","$33,370,906",36.9%,"$56,964,119",63.1%
84,Serial (Bad) Weddings 2,"$87,761,988",-,-,"$87,761,988",100%
85,One Piece: Stampede,"$81,562,741","$1,298,528",1.6%,"$80,264,213",98.4%
86,A Dog's Way Home,"$80,708,134","$42,004,346",52%,"$38,703,788",48%
87,A Dog's Journey,"$78,870,908","$22,782,371",28.9%,"$56,088,537",71.1%
88,Cold Pursuit,"$76,419,755","$32,138,862",42.1%,"$44,280,893",57.9%
89,Cats,"$75,558,925","$27,166,770",36%,"$48,392,155",64%
90,A Madea Family Funeral,"$74,747,725","$73,257,045",98%,"$1,490,680",2%
91,Charlie's Angels,"$73,279,888","$17,803,077",24.3%,"$55,476,811",75.7%
92,Doctor Sleep,"$72,381,712","$31,581,712",43.6%,"$40,800,000",56.4%
93,What Men Want,"$72,216,294","$54,611,903",75.6%,"$17,604,391",24.4%
94,Exit,"$69,501,772","$470,699",0.7%,"$69,031,073",99.3%
95,After,"$69,497,587","$12,138,565",17.5%,"$57,359,022",82.5%
96,Playing with Fire,"$69,412,425","$44,451,847",64%,"$24,960,578",36%
97,A Beautiful Day in the Neighborhood,"$67,925,733","$61,704,055",90.8%,"$6,221,678",9.2%
98,War,"$67,179,155","$4,654,000",6.9%,"$62,525,155",93.1%
99,Eiga Doraemon: Nobita no getsumen tansaki,"$65,406,606",-,-,"$65,406,606",100%
100,Happy Death Day 2U,"$64,600,152","$28,148,130",43.6%,"$36,452,022",56.4%
101,White Snake,"$62,098,770","$34,730",<0.1%,"$62,064,040",99.9%
102,Bombshell,"$61,404,394","$31,762,808",51.7%,"$29,641,586",48.3%
103,Ashfall,"$61,354,854","$372,562",0.6%,"$60,982,292",99.4%
104,Ma,"$61,220,784","$45,896,028",75%,"$15,324,756",25%
105,My Best Summer,"$60,011,073",-,-,"$60,011,073",100%
